fiscal_year,available_from,code,net_income,equity,shares,EPS,BPS,ROE
2022,2023-03-31,011780,1025704605758.0,5653415177596.0,43790532.0,23422.976586765377,129101.31298692603,0.18143097110977793
2024,2025-03-31,011780,348602013402.0,6042223071506.0,43790532.0,7960.670891187164,137980.12482483656,0.0576943302616453
2025,2026-03-31,011780,290934780649.0,6246537410457.0,43790532.0,6643.782739360188,142645.84432216993,0.04657536832517186
2019,2020-03-30,036460,58269151996.0,8146520783003.0,200000000.0,291.34575998,40732.603915015,0.007152642649310301
2020,2021-03-31,036460,-160683052530.0,7735155421970.0,200000000.0,-803.41526265,38675.77710985,-0.02077308648170343
2021,2022-03-31,036460,964522139121.0,9119335805807.0,200000000.0,4822.610695605,45596.679029035,0.10576670929332514
2022,2023-03-31,036460,1497008012582.0,10410740312040.0,200000000.0,7485.04006291,52053.7015602,0.1437945782636335
2023,2024-03-30,036460,-747428633334.0,9826038102998.0,200000000.0,-3737.14316667,49130.19051499,-0.07606612405725903
2024,2025-03-31,036460,1148985000000.0,10826356000000.0,200000000.0,5744.925,54131.78,0.10612850713573431
2025,2026-03-31,036460,132251000000.0,10798925000000.0,200000000.0,661.255,53994.625,0.012246681961398935
2019,2020-03-30,000100,36612325771.0,1649991371524.0,14000000.0,2615.1661265,117856.52653742857,0.022189404382874648
2020,2021-03-31,000100,190401937316.0,1846502193853.0,145000000.0,1313.116809075862,12734.49788864138,0.1031149261288979
2021,2022-03-31,000100,99126677873.0,1935889087603.0,145000000.0,683.6322611931034,13350.959224848275,0.05120472991339485
2022,2023-03-31,000100,90592526174.0,2007806369446.0,145000000.0,624.7760425793103,13846.940478937931,0.045120150803683604
2023,2024-03-30,000100,134031517424.0,2101732643463.0,145000000.0,924.3552925793103,14494.707885951724,0.06377191591940917
2024,2025-03-31,000100,55163455235.0,2150670010559.0,145000000.0,380.4376223103448,14832.206969372413,0.02564942783605467
2025,2026-03-31,000100,185318996567.0,2362284335746.0,145000000.0,1278.062045289655,16291.616108593103,0.07844906464592756
2023,2024-03-30,175330,603924000000.0,5115950000000.0,300000000.0,2013.08,17053.166666666668,0.11804728349573393
2024,2025-03-31,175330,692991000000.0,5724805000000.0,300000000.0,2309.97,19082.683333333334,0.12105058600249266
2025,2026-03-31,175330,730040000000.0,6175172000000.0,300000000.0,2433.4666666666667,20583.906666666666,0.11822180823465323
2019,2020-03-30,078930,668945000000.0,10999548000000.0,350000000.0,1911.2714285714285,31427.28,0.06081568078979245
2020,2021-03-31,078930,-187776000000.0,10756545000000.0,350000000.0,-536.5028571428571,30732.985714285714,-0.017456906469502986
2021,2022-03-31,078930,1614682000000.0,14202944000000.0,350000000.0,4613.377142857143,40579.84,0.11368643008097476
2022,2023-03-31,078930,2482704000000.0,16487810000000.0,350000000.0,7093.44,47108.02857142857,0.15057815440619463
2023,2024-03-30,078930,1578711000000.0,17625195000000.0,350000000.0,4510.602857142857,50357.7,0.0895712643179267
2024,2025-03-31,078930,863517000000.0,18470356000000.0,350000000.0,2467.191428571429,52772.44571428571,0.04675150820049164
2025,2026-03-31,078930,1038137000000.0,19194117000000.0,350000000.0,2966.1057142857144,54840.334285714285,0.05408620776876581
2019,2020-03-30,003550,1106755000000.0,19021021000000.0,700000000.0,1581.0785714285714,27172.887142857144,0.05818588812871822
2020,2021-03-31,003550,1540658000000.0,20861290000000.0,700000000.0,2200.94,29801.842857142856,0.07385247988019916
2021,2022-03-31,003550,2683974000000.0,21940221000000.0,700000000.0,3834.2485714285713,31343.172857142858,0.12233121990886053
2022,2023-03-31,003550,2115750000000.0,26234186000000.0,700000000.0,3022.5,37477.40857142857,0.0806485857804012
2023,2024-03-30,003550,1414258000000.0,27016489000000.0,700000000.0,2020.3685714285714,38594.98428571429,0.05234795683480559
2024,2025-03-31,003550,790478000000.0,28132633000000.0,700000000.0,1129.2542857142857,40189.47571428571,0.028098258701913896
2025,2026-03-31,003550,1000121000000.0,30334813000000.0,700000000.0,1428.7442857142858,43335.44714285714,0.03296941372277456
2023,2024-03-30,071050,708063414580.0,8445052101350.0,200000000.0,3540.3170729,42225.26050675,0.08384358155313348
2024,2025-03-31,071050,1045868641939.0,9734548934537.0,200000000.0,5229.343209695,48672.744672685,0.10743883963933704
2025,2026-03-31,071050,2024352000000.0,12099491000000.0,200000000.0,10121.76,60497.455,0.1673088562155218
2019,2020-03-30,021240,332207676536.0,1077195584534.0,200000000.0,1661.03838268,5385.97792267,0.3084005182584504
2020,2021-03-31,021240,404710859650.0,1490008891206.0,200000000.0,2023.55429825,7450.04445603,0.27161640580710267
2021,2022-03-31,021240,465486095093.0,1904437681959.0,200000000.0,2327.430475465,9522.188409795,0.24442180466318944
2022,2023-03-31,021240,457795616474.0,2311968716798.0,200000000.0,2288.97808237,11559.84358399,0.19801116388288842
2023,2024-03-30,021240,471011104871.0,2637754784464.0,200000000.0,2355.055524355,13188.77392232,0.1785651599023489
2024,2025-03-31,021240,565452186637.0,3196115767366.0,200000000.0,2827.260933185,15980.57883683,0.17691855608315574
2025,2026-03-31,021240,617510076654.0,3613727511069.0,200000000.0,3087.55038327,18068.637555345,0.17087898153984785
2019,2020-03-30,017800,43590611382.0,948178834603.0,60000000.0,726.5101897,15802.980576716667,0.04597298504374576
2020,2021-03-31,017800,97931138698.0,1025378478857.0,60000000.0,1632.1856449666666,17089.641314283333,0.09550730848882732
2021,2022-03-31,017800,112347037299.0,1136202156654.0,60000000.0,1872.45062165,18936.7026109,0.09887944380412955
2022,2023-03-31,017800,78232444324.0,1166752024073.0,60000000.0,1303.8740720666667,19445.867067883333,0.06705147512913613
2023,2024-03-30,017800,309851270000.0,1371566725000.0,60000000.0,5164.187833333333,22859.445416666666,0.22591046017101354
